# AutoVless clean IP seed list
# ip:port # COLO latency
# generated 2026-09-08 15:36:34 UTC (120 addresses)
# --- port 80 ---
104.21.123.131:80 # IAD 15ms
162.159.151.172:80 # IAD 15ms
172.67.115.212:80 # IAD 15ms
104.18.90.241:80 # IAD 17ms
104.18.8.14:80 # IAD 13ms
104.27.117.145:80 # IAD 16ms
104.19.79.167:80 # IAD 16ms
104.18.8.58:80 # IAD 17ms
104.24.69.230:80 # IAD 18ms
104.17.62.13:80 # IAD 17ms
104.18.134.179:80 # IAD 19ms
104.20.0.27:80 # IAD 16ms
104.21.217.67:80 # IAD 20ms
172.67.192.200:80 # IAD 18ms
172.66.162.67:80 # IAD 17ms
104.16.58.213:80 # IAD 18ms
104.18.157.188:80 # IAD 17ms
172.64.151.125:80 # IAD 16ms
104.18.82.23:80 # IAD 16ms
104.16.58.84:80 # IAD 16ms
162.159.135.141:80 # IAD 16ms
162.159.151.243:80 # IAD 15ms
104.26.8.198:80 # IAD 18ms
# --- port 443 ---
104.17.162.229:443 # IAD 118ms
104.24.231.92:443 # EWR 127ms
104.16.123.18:443 # IAD 150ms
104.18.220.200:443 # IAD 148ms
104.25.108.83:443 # IAD 300ms
190.93.247.28:443 # IAD 202ms
104.16.142.172:443 # IAD 360ms
104.25.234.185:443 # EWR 307ms
104.18.71.22:443 # IAD 74ms
104.19.66.196:443 # IAD 217ms
104.16.150.190:443 # IAD 513ms
104.16.41.113:443 # IAD 178ms
104.18.8.247:443 # IAD 547ms
104.19.91.47:443 # IAD 373ms
104.16.22.113:443 # IAD 343ms
104.18.220.68:443 # IAD 440ms
162.159.49.51:443 # IAD 470ms
162.159.192.208:443 # IAD 408ms
104.16.41.7:443 # IAD 621ms
162.159.192.10:443 # IAD 513ms
162.159.49.45:443 # IAD 403ms
104.19.133.179:443 # IAD 94ms
104.16.142.231:443 # IAD 457ms
104.26.8.43:443 # IAD 441ms
104.19.31.32:443 # IAD 365ms
# --- port 2053 ---
104.21.60.14:2053 # IAD 143ms
104.19.137.148:2053 # IAD 165ms
104.24.7.29:2053 # IAD 268ms
104.20.32.161:2053 # IAD 159ms
104.25.55.5:2053 # IAD 128ms
104.17.205.212:2053 # IAD 203ms
104.24.232.81:2053 # IAD 156ms
104.25.168.95:2053 # IAD 268ms
162.159.234.107:2053 # IAD 268ms
104.19.203.152:2053 # IAD 321ms
172.66.169.213:2053 # IAD 58ms
172.67.147.175:2053 # IAD 233ms
104.27.107.59:2053 # IAD 351ms
172.64.149.203:2053 # IAD 263ms
104.17.205.143:2053 # IAD 302ms
104.25.55.13:2053 # IAD 334ms
104.24.11.127:2053 # IAD 437ms
104.21.12.231:2053 # IAD 578ms
172.67.72.183:2053 # IAD 555ms
104.19.137.177:2053 # IAD 432ms
104.19.171.64:2053 # IAD 433ms
104.18.184.106:2053 # IAD 532ms
104.16.225.82:2053 # IAD 527ms
104.16.5.162:2053 # IAD 367ms
# --- port 8080 ---
104.25.123.86:8080 # IAD 14ms
104.19.9.145:8080 # IAD 14ms
172.64.188.180:8080 # IAD 16ms
104.16.48.123:8080 # IAD 17ms
104.27.21.24:8080 # IAD 17ms
172.64.176.47:8080 # IAD 16ms
104.25.4.172:8080 # IAD 17ms
104.16.86.207:8080 # IAD 16ms
104.16.199.222:8080 # IAD 16ms
104.19.193.54:8080 # IAD 16ms
104.17.172.51:8080 # IAD 16ms
104.17.95.10:8080 # IAD 18ms
104.19.129.149:8080 # IAD 16ms
104.21.4.245:8080 # IAD 17ms
104.21.84.36:8080 # IAD 17ms
104.18.2.146:8080 # IAD 17ms
104.19.237.107:8080 # IAD 16ms
104.18.18.175:8080 # IAD 16ms
104.19.9.42:8080 # IAD 18ms
172.67.71.224:8080 # IAD 16ms
172.67.244.77:8080 # IAD 15ms
104.20.17.10:8080 # IAD 17ms
104.19.58.98:8080 # IAD 20ms
# --- port 8443 ---
104.26.9.29:8443 # IAD 104ms
173.245.49.72:8443 # IAD 131ms
104.21.96.76:8443 # IAD 121ms
104.16.228.168:8443 # IAD 84ms
104.21.91.19:8443 # IAD 157ms
104.25.168.196:8443 # EWR 190ms
104.18.228.35:8443 # IAD 89ms
104.25.43.97:8443 # IAD 126ms
104.27.47.64:8443 # EWR 141ms
104.24.44.102:8443 # IAD 293ms
104.16.8.246:8443 # IAD 206ms
172.66.130.147:8443 # IAD 278ms
104.24.146.191:8443 # IAD 478ms
190.93.246.67:8443 # IAD 309ms
104.17.228.69:8443 # IAD 537ms
104.25.217.20:8443 # IAD 445ms
172.67.215.110:8443 # IAD 521ms
172.67.151.81:8443 # IAD 614ms
104.18.216.126:8443 # IAD 603ms
104.19.61.109:8443 # IAD 400ms
162.159.15.72:8443 # IAD 282ms
172.67.172.126:8443 # IAD 472ms
104.24.49.128:8443 # IAD 364ms
104.21.120.127:8443 # IAD 508ms
104.21.75.9:8443 # IAD 276ms
